"","seccion","titular","enlace_noticia"
"1","Homicidios","Ola de homicidios en la RM: 10 muertos durante el fin de semana vuelven a amenazar los ajustes al Plan Calle Sin ViolenciaExclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/ola-de-homicidios-en-la-rm-10-muertos-durante-el-fin-de-semana-vuelven-a-amenazar-los-ajustes-al-plan-calle-sin-violencia/PPJUIPOVZNHRJBBBROQKISCFMI/"
"2","Género","Mujeres que impactan: Valentina Muñoz y su misión de abrir caminos en tecnología","https://www.latercera.com/paula/mujeres-que-impactan-valentina-munoz-y-su-mision-de-abrir-caminos-en-tecnologia/"
"3","Ronald Ojeda","“Si los acusados fueran de derecha obviamente harían algo”: Matthei presiona para avanzar en caso Ojeda a un año de su muerte","https://www.latercera.com/politica/noticia/si-los-acusados-fueran-de-derecha-obviamente-harian-algo-matthei-presiona-para-avanzar-en-caso-ojeda-a-un-ano-de-su-muerte/4CH27MY5HBCDVLJD5RU4DJS4M4/"
"4","Elecciones 2025","Ante indefinición de Tohá: senadores PPD insisten en posicionar a Ricardo Lagos Weber como “plan B”Exclusivo suscriptor","https://www.latercera.com/la-tercera-pm/noticia/ante-indefinicion-de-toha-senadores-ppd-insisten-en-posicionar-a-ricardo-lagos-weber-como-plan-b/HS33WDOR4NDGBJNBATVZI3DWWY/"
"5","IND","Con el Mundial Sub 20 a la cabeza: los millonarios aportes del IND para los eventos deportivos de Chile en el 2025Exclusivo suscriptor","https://www.latercera.com/el-deportivo/noticia/el-mundial-sub-20-a-la-cabeza-los-millonarios-aportes-del-ind-para-los-eventos-deportivos-de-chile-en-el-2025/LZCNO32BXFB2PPWYSK5UBTPVPI/"
"6","Cartelera deportiva","Sigue la Copa Libertadores y la Recopa Sudamericana tendrá campeón: revisa la agenda de deporte por TV de esta semana","https://www.latercera.com/el-deportivo/noticia/ver-futbol-en-vivo-por-tv-y-mas-deporte-en-vivo-por-tv/5HYNRZNIVBFTJMSGGA5A6XB2IQ/"
"7","Ronald Ojeda","“Pésima señal”: alcalde Iglesias critica “la total ausencia de autoridades oficialistas” en acto en memoria de Ronald Ojeda","https://www.latercera.com/nacional/noticia/es-una-pesima-senal-alcalde-iglesias-critica-la-total-ausencia-de-autoridades-oficialistas-en-acto-en-memoria-de-ojeda/AFLTFTYUT5HA5IOKARAQOEMETM/"
"8","China","Turistas chinos graban impresionante avalancha que los cubrió","https://www.latercera.com/la-tercera-tv/noticia/turistas-chinos-graban-impresionante-avalancha-que-los-cubrio/MM5VOAPLHZCQ3LDI453UR56DGQ/"
"9","Miguel Crispi","La nueva defensa del Ejecutivo a Crispi tras flanco abierto por controvertida contratación de su esposa en el MIM","https://www.latercera.com/politica/noticia/la-nueva-defensa-del-ejecutivo-a-crispi-tras-flanco-abierto-por-controvertida-contratacion-de-su-esposa-en-el-mim/7JQHXGZYDVDV5IFA6G7FF5MR5A/"
"10","Mega Toma","Tensa espera: Carabineros aguarda instrucción del Gobierno para ejecutar “mega desalojo”","https://www.latercera.com/la-tercera-pm/noticia/tensa-espera-carabineros-aguarda-instruccion-del-gobierno-para-ejecutar-mega-desalojo/4RNWKYXQINHFJGZL6PXJPOEU3E/"
"11","Mercados","IPSA y Nasdaq operan en rojo a la espera de Nvidia","https://www.latercera.com/pulso/noticia/euro-y-acciones-alemanas-suben-tras-victoria-de-conservadores-en-las-elecciones/6OEAZVRP2VDSJFP2M5WHB46BXY/"
"12","Economía","Gobierno inicia gira a Arabia Saudita y países de África para potenciar el comercio exterior de Chile","https://www.latercera.com/pulso/noticia/gobierno-inicia-gira-a-arabia-saudita-y-paises-de-africa-para-potenciar-el-comercio-exterior-de-chile/MPPBBOY4N5A4BL4GM3CUYXVFEY/"
"13","Guerra en Ucrania","La invasión rusa ha provocado el desplazamiento de alrededor de 10,6 millones de ucranianos","https://www.latercera.com/mundo/noticia/la-invasion-rusa-ha-provocado-el-desplazamiento-de-alrededor-de-106-millones-de-ucranianos/DYPXF7FHDZBA3PRVRKFV3PU75E/"
"14","Bonos","Bono Marzo 2025: revisa con el RUT el pago del Aporte Familiar Permanente","https://www.latercera.com/servicios/noticia/bono-marzo-revisa-con-el-rut-el-pago-del-aporte-familiar-permanente/5Y43C33OUVDNPNVVTBJIGUZ2OQ/"
"15","Corfo","Alejandro Micco afirma que si queremos seguir siendo un país serio en lo fiscal, vamos a tener que hacer un ajuste","https://www.latercera.com/pulso/noticia/alejandro-micco-afirma-que-si-queremos-seguir-siendo-un-pais-serio-en-lo-fiscal-vamos-a-tener-que-hacer-un-ajuste/D32K3SDMAJHRDJZZ4JDUEZPMKM/"
